"exposure","outcome","Method","Heterogeneity_Q","Q_df","Q_P.value","Egger_intercept","SE","P.value"
"","ebi-a-GCST90018894","IVW","26.4113","31","0.7014","","",""
"PPBP","ebi-a-GCST90018894","MR Egger","59.7494","50","0.1626","0.02275","0.006914","0.00183732"
"","ebi-a-GCST90018894","IVW","72.6887","51","0.02467","","",""
"PRKD1","ebi-a-GCST90018894","MR Egger","26.9619","43","0.9734","-0.003216","0.010213","0.75437"
"","ebi-a-GCST90018894","IVW","27.0611","44","0.9791","","",""
"PROK2","ebi-a-GCST90018894","MR Egger","37.7862","56","0.9705","-0.001536","0.006221","0.80589"
"","ebi-a-GCST90018894","IVW","37.8472","57","0.9763","","",""
"PROS1","ebi-a-GCST90018894","MR Egger","51.539","63","0.8485","0.03742","0.009061","0.000108769"
"","ebi-a-GCST90018894","IVW","68.5959","64","0.3244","","",""
"PRTN3","ebi-a-GCST90018894","MR Egger","9.0458","11","0.6177","-0.007122","0.015447","0.653736"
"","ebi-a-GCST90018894","IVW","9.2584","12","0.6807","","",""
"RASL11A","ebi-a-GCST90018894","MR Egger","16.673","24","0.8623","0.023363","0.024426","0.348361"
"","ebi-a-GCST90018894","IVW","17.5879","25","0.8594","","",""
"RHCE","ebi-a-GCST90018894","MR Egger","2.9252","18","1","0.045143","0.041028","0.285701"
"","ebi-a-GCST90018894","IVW","4.1358","19","0.9999","","",""
"SAP30","ebi-a-GCST90018894","MR Egger","3.3063","21","1","0.028328","0.01937","0.15842"
"","ebi-a-GCST90018894","IVW","5.4451","22","0.9999","","",""
"SERPINB10","ebi-a-GCST90018894","MR Egger","59.8647","69","0.7756","-0.001037","0.007631","0.89234"
"","ebi-a-GCST90018894","IVW","59.8832","70","0.8004","","",""
"SERPINI1","ebi-a-GCST90018894","MR Egger","24.1607","40","0.9774","0.019526","0.012467","0.125184"
"","ebi-a-GCST90018894","IVW","26.6136","41","0.9599","","",""
"SFRP5","ebi-a-GCST90018894","MR Egger","17.1793","26","0.9036","0.000448","0.023132","0.98471"
"","ebi-a-GCST90018894","IVW","17.1797","27","0.9266","","",""
"SLC1A3","ebi-a-GCST90018894","MR Egger","31.6254","62","0.9995","0.008512","0.011105","0.446278"
